area;spot_id;length;hillyness;no_bobil_nor_caravan;end_row;not_spot;no_bobil;reserved;length_norm
Furulunden;A1;6;0;1;;;;;0.25
Furulunden;A2;6;0;1;;;;;0.25
Furulunden;A3;6;0;1;;;;;0.25
Furulunden;A4;6;0;1;;;;;0.25
Furulunden;A5;6;0;1;;;;;0.25
Furulunden;A6;6;0;1;;;;;0.25
Furulunden;A7;6;0;1;;;;;0.25
Furulunden;A8;6;0;1;;;;;0.25
Furulunden;A9;6;0;1;;;;;0.25
Furulunden;A10;6;0;1;;;;;0.25
Furulunden;A11;6;0;1;;;;;0.25
Furulunden;A12;6;0;1;;;;;0.25
Furulunden;A13;6;0;1;;;;;0.25
Furulunden;A14;6;0;1;;;;;0.25
Furulunden;A15;6;0;1;;;;;0.25
Furulunden;A16;6;0;1;;;;;0.25
Furulunden;A17;6;0;1;;;;;0.25
Furulunden;A18;6;0;1;;;;;0.25
Furulunden;A19;6;0;1;;;;;0.25
Furulunden;A20;6;0;1;1;;;;0.25
Furulunden;B1;5.2;0;;;;;;0.15
Furulunden;B2;5.2;0;;;;;;0.15
Furulunden;B3;5.2;0;;;;;;0.15
Furulunden;B4;7.5;0;;;;;;0.4375
Furulunden;B5;7.5;0;;;;;;0.4375
Furulunden;B6;7.5;0;;;;;;0.4375
Furulunden;C1;6.8;0;;;;;;0.35
Furulunden;C2;6.8;0;;;;;;0.35
Furulunden;C3;6.8;0;;;;;;0.35
Furulunden;C4;8.8;0;;;;;;0.6
Furulunden;C5;8.8;0;;;;;;0.6
Furulunden;C6;8.8;0;;;;;;0.6
Furulunden;C7;7.8;0;;;;;;0.475
Furulunden;C8;7.8;0;;;;;;0.475
Furulunden;C9;7.8;0;;;;;;0.475
Furulunden;C10;6.5;0;;;;;;0.3125
Furulunden;C11;6.5;0;;;;;;0.3125
Furulunden;C12;6.5;0;;;;;;0.3125
Furulunden;C13;5;0;;1;;;;0.125
Furulunden;C14;7.5;0;;;;;;0.4375
Furulunden;C15;7.5;0;;;;;;0.4375
Furulunden;C16;7.5;0;;;;;;0.4375
