River;River;River;River;River;River;River;River;River;River;River;River
River;River;River;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;Furulunden E12;Road;Furulunden D33;Fire safety zone (3m);Furulunden D01;Road;Furulunden C29;Fire safety zone (3m);Furulunden C01;Road;Furulunden B06
River;Furulunden E13;Road;Furulunden D32;Fire safety zone (3m);Furulunden D02;Road;Furulunden C28;Fire safety zone (3m);Furulunden C02;Road;Furulunden B05
River;Furulunden E14;Road;Furulunden D31;Fire safety zone (3m);Furulunden D03;Road;Furulunden C27;Fire safety zone (3m);Furulunden C03;Road;Furulunden B04
River;Furulunden E15;Road;Furulunden D30;Fire safety zone (3m);Furulunden D04;Road;Furulunden C26;Fire safety zone (3m);Furulunden C04;Road;Furulunden B03
River;Furulunden E16;Road;Furulunden D29;Fire safety zone (3m);Furulunden D05;Road;Furulunden C25;Fire safety zone (3m);Furulunden C05;Road;Furulunden B02
River;Furulunden E17;Road;Furulunden D28;Fire safety zone (3m);Furulunden D06;Road;Furulunden C24;Fire safety zone (3m);Furulunden C06;Road;Furulunden B01
River;Furulunden E18;Road;Furulunden D27;Fire safety zone (3m);Furulunden D07;Road;Furulunden C23;Fire safety zone (3m);Furulunden C07;Road;EMPTY
River;Furulunden E19;Road;Furulunden D26;Fire safety zone (3m);Furulunden D08;Road;Furulunden C22;Fire safety zone (3m);Furulunden C08;Road;EMPTY
River;Furulunden E20;Road;Furulunden D25;Fire safety zone (3m);Furulunden D09;Road;Furulunden C21;Fire safety zone (3m);Furulunden C09;Road;EMPTY
River;Furulunden E21;Road;Furulunden D24;Fire safety zone (3m);Furulunden D10;Road;Furulunden C20;Fire safety zone (3m);Furulunden C10;Road;EMPTY
River;Furulunden E22;Road;Furulunden D23;Fire safety zone (3m);Furulunden D11;Road;Furulunden C19;Fire safety zone (3m);Furulunden C11;Road;EMPTY
River;Furulunden E23;Road;Furulunden D22;Fire safety zone (3m);Furulunden D12;Road;Furulunden C18;Fire safety zone (3m);Furulunden C12;Road;EMPTY
River;Furulunden E24;Road;Furulunden D21;Fire safety zone (3m);Furulunden D13;Road;Furulunden C17;Fire safety zone (3m);Furulunden C13;EMPTY;EMPTY
River;Furulunden E25;Road;Furulunden D20;Fire safety zone (3m);Furulunden D14;Road;Furulunden C16;Fire safety zone (3m);EMPTY;EMPTY;EMPTY
River;Furulunden E26;Road;EMPTY;Fire safety zone (3m);Furulunden D15;Road;Furulunden C15;Fire safety zone (3m);EMPTY;EMPTY;EMPTY
River;River;Road;EMPTY;Fire safety zone (3m);Furulunden D16;;Furulunden C14;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;EMPTY;EMPTY;Furulunden D17;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;EMPTY;EMPTY;Furulunden D18;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Toilets;Toilets;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Toilets;Shower;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A20;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A19;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A18;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A17;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A16;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A15;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A14;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A13;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A12;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A11;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A10;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A9;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A8;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A7;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A6;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A5;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A4;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A3;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A2;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
River;River;Road;Furulunden A1;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY
